61,Rosemary  ,herb,1.5,10,8,11,6,"moist, dry",1.5,full sun,maritime
62,Rutabaga  ,vegetable,0.8,10,8,9,6,moist,0.5,full sun,
63,Sage  ,herb,0.6,10,8,10,5,"moist, dry",0.6,full sun,
64,Scarlet runner bean  ,vegetable,3,10,8,12,1,moist,1.5,full sun ,
65,Shallot  ,vegetable,0.3,10,8,8,4,moist,0.15,full sun,
66,Snapdragons  ,flower,1,,6,10,5,"moist, dry",0.2,full sun,
67,Spinach  ,vegetable,0.3,8,6,8,4,moist,0.3,"tolerates partial shade, tolerates full sun spring and fall",
68,Spring onion  ,vegetable,0.6,10,8,9,5,moist,0.2,full sun,
69,Sunflowers  ,fruit,3,,6,9,6,"moist, dry",0.3,full sun,
70,Sweet corn  ,"vegetable, fruit",2,10,8,11,2,moist,0.8,full sun,
71,Sweet pea  ,"vegetable, fruit",2,8,6,11,2,moist,0.9,"full sun, tolerates partial sun",
72,Sweet potato  ,vegetable,3,10,8,12,10,moist,3,full sun,
73,Swiss chard  ,vegetable,0.9,8,6,8,4,moist,,"tolerates partial shade, tolerates partial sun",
74,Szechuan pepper  ,"fruit, vegetable",4,10,4,8,5,moist,6,"tolerates partial shade, tolerates partial sun",
75,Tomatillo  ,"vegetable, fruit",0.8,10,8,9,6,moist,1.2,full sun,
76,Tomato  ,"vegetable, fruit",2,10,8,12,10,"moist, dry",1.5,full sun,
77,Turnip  ,vegetable,0.5,8,6,11,7,moist,0.3,"tolerates partial shade, tolerates partial sun",
78,Watermelon  ,fruit,0.5,10,8,11,8,"moist, dry",2,full sun,
79,White cabbage  ,vegetable,0.8,10,8,11,7,moist,1,full sun,maritime
80,Wild garlic  ,"vegetable, fruit",0.3,6,3,8,4,moist,0.3,"tolerates partial shade, full shade",
81,Winter squash  ,"vegetable, fruit",0.6,10,8,11,2,moist,5,full sun,
82,Zucchini  ,"vegetable, fruit",0.6,,6,11,2,moist,3,full sun,
